,Unnamed: 0,Article_ID,Instance_ID,Keyword,Statistics,Statistics Type,Association,Is Child,Is Human,Group Size,Nationality,Side_new,Full_Sent,Conflict_Year,Date,Source
1155,1155,ID_Past Conflicts_AJE_334,Cold Statistics_Prompt_Instance_ID_1568,74 dead and 380 injured,74 dead and 380 injured,Number about Deaths and Number about Injured,"Residents of Shujayea, Gaza",No,Yes,Many,Palestinian,Palestine,"So far, we have counted 74 dead and 380 injured from that night alone.",2014,22 July 2014,AJE
1156,1156,ID_Past Conflicts_AJE_334,Cold Statistics_Prompt_Instance_ID_1569,"more than 1,400 Palestinians were killed","more than 1,400",Number about Deaths,Palestinians killed in the 2009 Israeli ground invasion of Gaza,No,Yes,Many,Palestinian,Palestine,"Younis said, referring to the Israeli ground invasion of Gaza in January 2009, where more than 1,400 Palestinians were killed,",2014,22 July 2014,AJE
1157,1157,ID_Past Conflicts_AJE_335,Cold Statistics_Prompt_Instance_ID_1572,"killed 635 Palestinians, many of them civilians","killed 635 Palestinians, many of them civilians",Number about Deaths (with civilian context),Palestinian civilians (and possibly combatants),No,Yes,Many,Palestinian,Palestine,"The deadliest conflict in five years between Israel and the Palestinians has killed 635 Palestinians, many of them civilians, according to Gaza's Health Ministry.",2014,22 July 2014,AJE
1158,1158,ID_Past Conflicts_AJE_335,Cold Statistics_Prompt_Instance_ID_1573,"At least 31 Israelis, 29 of them soldiers, have died","At least 31 Israelis, 29 of them soldiers",Number about Deaths (with breakdown of soldiers),Israeli civilians and soldiers,No,Yes,Many,Israeli,Israel,"At least 31 Israelis, 29 of them soldiers, have died in the fighting.",2014,22 July 2014,AJE
1159,1159,ID_Past Conflicts_AJE_335,Cold Statistics_Prompt_Instance_ID_1574,killed six people,six people,Number about Deaths,"Unspecified (likely Palestinian, context: Gaza air strikes)",No,Yes,Many,Palestinian (inferred from context),Palestine,"Late on Tuesday, a series of Israeli air strikes across the Gaza Strip killed six people, medics said.",2014,22 July 2014,AJE
1160,1160,ID_Past Conflicts_AJE_335,Cold Statistics_Prompt_Instance_ID_1575,More than 60 people have been killed in the past 24 hours,More than 60 people,Number about Deaths (within 24 hours),"Unspecified (likely Palestinian, context: Gaza)",No,Yes,Many,Palestinian (inferred from context),Palestine,More than 60 people have been killed in the past 24 hours.,2014,22 July 2014,AJE
1161,1161,ID_Past Conflicts_AJE_335,Cold Statistics_Prompt_Instance_ID_1577,At least seven Palestinians were reported killed,At least seven Palestinians,Number about Deaths,Palestinian civilians (possibly combatants),No,Yes,Many,Palestinian,Palestine,At least seven Palestinians were reported killed in attacks.,2014,22 July 2014,AJE
1162,1162,ID_Past Conflicts_AJE_335,Cold Statistics_Prompt_Instance_ID_1578,"more than 100,000 people have sought shelter in 69 schools","more than 100,000 people",Number about Displaced Persons Seeking Shelter,Displaced Palestinians,No,Yes,Many,Palestinian,Palestine,"Since the Israeli operation began on July 8, huge numbers of Palestinians have fled their homes, with the UN saying more than 100,000 people have sought shelter in 69 schools run by UNRWA.",2014,22 July 2014,AJE
1163,1163,ID_Past Conflicts_AJE_336,Cold Statistics_Prompt_Instance_ID_1579,"more than 607 Palestinians, including dozens of women and children",more than 607,"Number about Deaths (Palestinian civilians, including women and children)","Palestinian civilians, including women and children",Yes,Yes,Many,Palestinian,Palestine,"The death toll in Israel's 14-day assault has climbed to more than 607 Palestinians, including dozens of women and children.",2014,22 July 2014,AJE
1164,1164,ID_Past Conflicts_AJE_336,Cold Statistics_Prompt_Instance_ID_1580,"More than 3,700 others have been injured","More than 3,700",Number about Injured (Palestinian civilians),Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"More than 3,700 others have been injured.",2014,22 July 2014,AJE
1165,1165,ID_Past Conflicts_AJE_339,Cold Statistics_Prompt_Instance_ID_1584,killed,more than 600 Palestinians,Statistics about Deaths,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"The deadliest conflict in five years between Israel and the Palestinians has killed more than 600 Palestinians, many of them civilians, according to Gaza's Health Ministry.",2014,22 July 2014,AJE
1166,1166,ID_Past Conflicts_AJE_339,Cold Statistics_Prompt_Instance_ID_1585,died,"At least 29 Israelis, 27 of them soldiers",Statistics about Deaths,Israeli civilians and soldiers,No,Yes,Many,Israeli,Israel,"At least 29 Israelis, 27 of them soldiers, have died in the fighting.",2014,22 July 2014,AJE
1167,1167,ID_Past Conflicts_AJE_339,Cold Statistics_Prompt_Instance_ID_1586,killed,At least seven Palestinians,Statistics about Deaths,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,At least seven Palestinians were reported killed in the new round of air strikes early on Tuesday.,2014,22 July 2014,AJE
1168,1168,ID_Past Conflicts_AJE_339,Cold Statistics_Prompt_Instance_ID_1587,fled their homes,"more than 100,000 people",Statistics about Displaced Persons,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"Since the Israeli operation began on July 8, huge numbers of Palestinians have fled their homes, with the UN saying more than 100,000 people have sought shelter in 69 schools run by its Palestinian refugee agency, UNRWA.",2014,22 July 2014,AJE
1169,1169,ID_Past Conflicts_AJE_340,Cold Statistics_Prompt_Instance_ID_1588,13 Israeli soldiers were killed,13,Number about Deaths (Israeli soldiers),Israeli soldiers,No,Yes,Many,Israeli,Israel,"There has been no signs of dwindling support even after 13 Israeli soldiers were killed in a single day, the highest death toll in nearly a decade.",2014,22 July 2014,AJE
1170,1170,ID_Past Conflicts_AJE_340,Cold Statistics_Prompt_Instance_ID_1591,13 Palestinian fighters tried to sneak through a tunnel,13,Number about Infiltrators (Palestinian fighters),Palestinian fighters,No,Yes,Many,Palestinian,Palestine,"But an attempted attack on Thursday, July 17, when 13 Palestinian fighters tried to sneak through a tunnel into Israel, helped secure public support for a ground invasion.",2014,22 July 2014,AJE
1171,1171,ID_Past Conflicts_AJE_340,Cold Statistics_Prompt_Instance_ID_1592,at least 72 people,at least 72,Number about Deaths (Gazan civilians),Gazan civilians (likely including children and adults),Unknown,Yes,Many,Palestinian (Gazan),Palestine,"On Sunday, much of the world was focused on the heavy shelling of Shujayea, a neighbourhood in eastern Gaza, which killed at least 72 people.",2014,22 July 2014,AJE
1172,1172,ID_Past Conflicts_AJE_340,Cold Statistics_Prompt_Instance_ID_1593,27 soldiers had been killed,27,Number about Deaths (Israeli soldiers),Israeli soldiers,No,Yes,Many,Israeli,Israel,"Inside Israel, though, the violence was quickly overshadowed by reports that 27 soldiers had been killed in overnight fighting.",2014,22 July 2014,AJE
1173,1173,ID_Past Conflicts_AJE_341,Cold Statistics_Prompt_Instance_ID_1594,25 to 50 women per day,25 to 50 women per day,Number about Victims (Pregnant Women Arriving at Hospital),Pregnant Palestinian women arriving at the hospital,No,Yes,Many,Palestinian,Palestine,Receiving between 25 to 50 women per day they are now having to redirect medical supplies to the intensive care unit.,2014,23 July 2014,AJE
1174,1174,ID_Past Conflicts_AJE_341,Cold Statistics_Prompt_Instance_ID_1596,eight,eight,Number about Victims (Number of Children),Children of Mariam Guneed,Yes,Yes,Many,Palestinian,Palestine,"""My children are used to this war. They have grown up with the sound of bombs,"" said Mariam Guneed, 39, a mother of eight.",2014,23 July 2014,AJE
1175,1175,ID_Past Conflicts_AJE_342,Cold Statistics_Prompt_Instance_ID_1598,killed,715 Palestinians,Number about Deaths,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"The conflict has so far killed 715 Palestinians, 32 Israeli soldiers, two Israeli civilians and a Thai worker.",2014,23 July 2014,AJE
1176,1176,ID_Past Conflicts_AJE_342,Cold Statistics_Prompt_Instance_ID_1599,killed,32 Israeli soldiers,Number about Deaths (combatants),Israeli soldiers,No,Yes,Many,Israeli,Israel,"The conflict has so far killed 715 Palestinians, 32 Israeli soldiers, two Israeli civilians and a Thai worker.",2014,23 July 2014,AJE
1177,1177,ID_Past Conflicts_AJE_342,Cold Statistics_Prompt_Instance_ID_1602,thousands of Palestinians have fled their homes,thousands of Palestinians,Number about Displaced Victims,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,UK charity Oxfam said on Wednesday that thousands of Palestinians have fled their homes but have nowhere safe to shelter from Israeli air strikes and warned that supplies of water and food are dangerously low.,2014,23 July 2014,AJE
1178,1178,ID_Past Conflicts_AJE_344,Cold Statistics_Prompt_Instance_ID_1604,"at least 1,000","at least 1,000",Number about Displaced/Sheltered Civilians,Palestinian families and individuals seeking refuge in the church and neighbouring mosque,Yes,Yes,Many,Palestinian,Palestine,"On Sunday, a few hundred people, mostly families escaping the death and destruction of Shujayea, came to the church, soaring the number of those sheltered in the church and the neighbouring mosque to at least 1,000.",2014,23 July 2014,AJE
1179,1179,ID_Past Conflicts_AJE_344,Cold Statistics_Prompt_Instance_ID_1605,"at least 658 Palestinians dead, including 161 children and 60 women","at least 658 dead, including 161 children and 60 women","Statistics about Deaths (Total, Children, Women)",Palestinian civilians killed in the Israeli assault,Yes,Yes,Many,Palestinian,Palestine,"The Israeli assault on Gaza, which enters its third week, has left at least 658 Palestinians dead, including 161 children and 60 women, and over 4,000 injured.",2014,23 July 2014,AJE
1180,1180,ID_Past Conflicts_AJE_344,Cold Statistics_Prompt_Instance_ID_1606,"over 4,000 injured","over 4,000",Number about Injured Civilians,Palestinian civilians injured in the Israeli assault,No,Yes,Many,Palestinian,Palestine,"The Israeli assault on Gaza, which enters its third week, has left at least 658 Palestinians dead, including 161 children and 60 women, and over 4,000 injured.",2014,23 July 2014,AJE
1181,1181,ID_Past Conflicts_AJE_344,Cold Statistics_Prompt_Instance_ID_1607,"118,300","118,300",Number about Internally Displaced Persons,Internally displaced Palestinians in Gaza Strip (UN estimate),No,Yes,Many,Palestinian,Palestine,"The UN estimates the number of internally displaced persons in the Strip to be at 118,300.",2014,23 July 2014,AJE
1182,1182,ID_Past Conflicts_AJE_344,Cold Statistics_Prompt_Instance_ID_1610,nine,nine,Number about Children in Family (Displaced),Children of Umm Amjad Shalah (displaced family),Yes,Yes,Many,Palestinian,Palestine,"Umm Amjad Shalah, a mother of nine, has run out of options in finding a sanctuary where her family members feel protected.",2014,23 July 2014,AJE
1183,1183,ID_Past Conflicts_AJE_344,Cold Statistics_Prompt_Instance_ID_1613,over 50 women,over 50,Number about Displaced Women in Classroom,Displaced Palestinian women in UNRWA school classroom,No,Yes,Many,Palestinian,Palestine,"The school classrooms were overflowing,"" she said, adding that some classrooms had over 50 women squeezed in, with little room to move or breathe.",2014,23 July 2014,AJE
1184,1184,ID_Past Conflicts_AJE_344,Cold Statistics_Prompt_Instance_ID_1615,mother of 10,10,Number about Children in Family (Displaced),Children of Najla Juha (displaced family),Yes,Yes,Many,Palestinian,Palestine,"Following the church cemetery bombing, 36-year-old Najla Juha, a mother of 10, sent her children to their grandmother's house.",2014,23 July 2014,AJE
1185,1185,ID_Past Conflicts_AJE_345,Cold Statistics_Prompt_Instance_ID_1616,at least six people were killed and 20 injured,at least six people were killed and 20 injured,Number about Deaths and Injured,Palestinian civilians in Khan Younis,No,Yes,Many,Palestinian,Palestine,Palestinian emergency services said that at least six people were killed and 20 injured early on Wednesday during prolonged bombardment of the southern town of Khan Younis.,2014,23 July 2014,AJE
1186,1186,ID_Past Conflicts_AJE_345,Cold Statistics_Prompt_Instance_ID_1617,"16-day Israeli assault on Gaza to 648, including scores of children. More than 4,000 people have been injured.","648 killed, including scores of children; More than 4,000 injured",Number about Deaths (including children) and Injured,Palestinian civilians in Gaza (including children),Yes,Yes,Many,Palestinian,Palestine,"Wednesday's deaths bring the number of Palestinians killed during the 16-day Israeli assault on Gaza to 648, including scores of children. More than 4,000 people have been injured.",2014,23 July 2014,AJE
1187,1187,ID_Past Conflicts_AJE_345,Cold Statistics_Prompt_Instance_ID_1618,The number of Israelis who have died has climbed to 31 - 29 soldiers and two civilians.,31 Israelis killed (2 civilians),Number about Deaths (including civilians),Israeli civilians and soldiers,No,Yes,Many,Israeli,Israel,The number of Israelis who have died has climbed to 31 - 29 soldiers and two civilians.,2014,23 July 2014,AJE
1188,1188,ID_Past Conflicts_AJE_346,Cold Statistics_Prompt_Instance_ID_1620,killed,more than 600,Number about Deaths,Gazans killed by Israel,No,Yes,Many,Palestinian,Palestine,Israel has killed more than 600 Gazans and injured thousands.,2014,23 July 2014,AJE
1189,1189,ID_Past Conflicts_AJE_346,Cold Statistics_Prompt_Instance_ID_1621,injured,thousands,Number about Injured,Gazans injured by Israel,No,Yes,Many,Palestinian,Palestine,Israel has killed more than 600 Gazans and injured thousands.,2014,23 July 2014,AJE
